psfMag_u0,psfMag_g0,psfMag_r0,psfMag_i0,psfMag_z0,fiberMag_u0,fiberMag_g0,fiberMag_r0,fiberMag_i0,fiberMag_z0,fiber2Mag_u0,fiber2Mag_g0,fiber2Mag_r0,fiber2Mag_i0,fiber2Mag_z0,petroMag_u0,petroMag_g0,petroMag_r0,petroMag_i0,petroMag_z0,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,q_u,q_g,q_r,q_i,q_z,u_u,u_g,u_r,u_i,u_z,mE1_u,mE1_g,mE1_r,mE1_i,mE1_z,mE2_u,mE2_g,mE2_r,mE2_i,mE2_z,mRrCc_u,mRrCc_g,mRrCc_r,mRrCc_i,mRrCc_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,mE1PSF_u,mE1PSF_g,mE1PSF_r,mE1PSF_i,mE1PSF_z,mE2PSF_u,mE2PSF_g,mE2PSF_r,mE2PSF_i,mE2PSF_z,mRrCcPSF_u,mRrCcPSF_g,mRrCcPSF_r,mRrCcPSF_i,mRrCcPSF_z,mCr4PSF_u,mCr4PSF_g,mCr4PSF_r,mCr4PSF_i,mCr4PSF_z,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVMag_u0,deVMag_g0,deVMag_r0,deVMag_i0,deVMag_z0,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expMag_u0,expMag_g0,expMag_r0,expMag_i0,expMag_z0,cModelMag_u0,cModelMag_g0,cModelMag_r0,cModelMag_i0,cModelMag_z0,aperFlux7_u,aperFlux7_g,aperFlux7_r,aperFlux7_i,aperFlux7_z,fracDeV_u,fracDeV_g,fracDeV_r,fracDeV_i,fracDeV_z,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z
20.35019,18.73038,18.13181,17.79124,17.61852,20.2801,18.66158,17.93344,17.60951,17.30111,21.00867,19.39808,18.67044,18.34813,18.0378,18.38121,16.4418,15.73973,15.37512,14.94228,9.525971,9.506395,9.145608,9.733675,11.77856,3.757468,4.307437,4.201385,4.330088,4.940547,9.644295,10.44489,10.47415,10.66783,13.29262,-0.1742835,-0.0969995,-0.09834823,-0.09815063,-0.0806079,0.1039882,0.08338016,0.09409916,0.08485105,0.08909509,-0.3221001,-0.2039935,-0.2059902,-0.2188705,-0.2009384,0.4116902,0.4102912,0.4209202,0.4174775,0.4272034,87.45168,90.5973,84.37289,87.48395,88.5538,2.333584,2.38687,2.390197,2.394736,2.40415,-0.0222397,-0.06152803,-0.02952687,-0.06139217,-0.1363113,0.09190244,0.02790427,0.1328284,0.1327402,0.01820926,4.809513,4.481432,3.875232,3.674095,2.911362,2.07713,2.098268,2.057399,2.073533,2.107184,11.7246,10.49027,10.78546,11.23186,13.82184,0.4101294,0.5999452,0.5966117,0.5990989,0.6099372,17.91127,16.04398,15.3113,14.92901,14.42232,4.744936,4.659439,4.573728,4.629395,4.672879,0.4727821,0.5892036,0.5784634,0.5801845,0.584724,18.39639,16.52944,15.82821,15.46626,15.1566,18.29509,16.38576,15.66269,15.28333,14.74698,20.04551,130.7781,288.1278,425.9185,605.2729,0.173596,0.2509512,0.2700717,0.286627,0.4741511,49.4702754784142,40.8972443909435,18.35082,16.5513,15.82822,15.47761,15.18149
17.65375,16.13538,15.59801,15.37027,15.33475,17.82089,16.31893,15.79564,15.56291,15.54404,18.35451,16.84475,16.31466,16.07829,16.06036,17.43574,15.95259,15.44082,15.22094,15.20192,1.601994,1.422433,1.362951,1.234777,1.278589,0.760179,0.6798618,0.6446285,0.5882167,0.6039331,1.669692,1.559196,1.515217,1.429278,1.453403,0.05548432,0.006684205,0.02525603,0.01831312,-0.04588091,0.1188724,0.09845191,0.08892194,0.1252656,0.02217347,0.1339522,0.01739544,0.05606319,0.04015515,-0.1619261,0.4719067,0.3805139,0.3565215,0.3502487,0.0931644,4.949165,3.612743,3.047718,2.599437,2.143782,2.100015,2.159046,2.187659,2.105853,2.219069,0.1898315,-0.08620859,0.03654208,-0.08295189,-0.2443163,0.1246346,0.1184442,0.03522277,0.1093491,-0.0658664,2.894294,2.341358,2.224949,1.824647,1.924315,2.071062,2.116527,2.08036,2.077069,2.136478,0.427623,0.3517694,0.335034,0.2976797,0.3075724,0.0609831,0.05,0.05,0.05,0.1782837,17.39032,15.9142,15.40834,15.17418,15.18238,0.6095489,0.5146227,0.5020176,0.4192308,0.4076686,0.05,0.1067662,0.05,0.05,0.279562,17.39743,15.92769,15.42404,15.19515,15.21442,17.39503,15.91479,15.40899,15.17446,15.18238,60.1645,270.7315,502.2165,666.4753,720.7661,0.3375533,0.9556618,0.9579103,0.9865814,1,50.2217795302807,41.2257344379433,17.41558,15.91563,15.40834,15.16885,15.17474
20.96273,19.13077,18.23058,17.76802,17.42493,21.04678,19.08323,18.05112,17.63207,17.27019,21.61892,19.73481,18.70434,18.28168,17.92011,20.63144,17.68559,16.71048,16.23596,15.96594,3.511554,6.326269,5.274931,6.069066,5.011908,1.047038,2.613349,2.361038,2.507939,2.263329,2.94909,7.606158,7.376443,7.631073,6.946054,-0.1466244,-0.06190741,-0.02595659,-0.04862847,-0.05049144,0.3612609,0.02416704,0.04874245,0.04490536,0.03589821,0.3603666,-0.08688597,-0.04139264,-0.09528404,-0.07534621,0.5196214,0.09109128,0.1015649,0.1279827,0.1031089,8.004304,15.35832,12.43076,12.50494,11.37454,2.198327,2.379658,2.408784,2.403656,2.403977,-0.05266146,-0.09900741,-0.01673988,-0.04453372,-0.06846536,-0.03678195,-0.04037046,0.0152028,0.001712522,0.03659875,4.647197,3.7861,2.663017,2.699115,2.549156,2.098302,2.083455,2.102143,2.107532,2.120177,1.045554,3.237343,2.837885,2.99298,2.479818,0.05,0.8281021,0.8432952,0.7997214,0.8401784,20.55135,17.5639,16.60415,16.13946,15.89962,0.9736176,1.584918,1.522554,1.557453,1.454027,0.05,0.8275088,0.8313345,0.8084282,0.7848479,20.65067,18.04488,17.03976,16.59181,16.29238,20.55135,17.5639,16.60415,16.13946,15.89962,3.474075,47.4757,135.6867,225.0351,315.6257,1,1,1,1,1,49.1911195737604,41.2502476248583,19.86766,17.63688,16.6041,16.15743,15.81193
18.47823,17.34176,17.00827,16.98004,16.95284,18.75081,17.48507,17.08183,16.93917,16.87666,19.25156,18.01934,17.64266,17.51346,17.45713,18.38398,17.22099,16.79071,16.76968,16.69739,1.554974,1.593912,1.610504,1.498362,1.528385,0.8037318,0.7891679,0.7994354,0.7363765,0.760245,1.813404,1.6766,1.680115,1.595772,1.59134,-0.01182376,-0.0687386,-0.05351848,-0.08253507,-0.1028302,0.003929613,0.06421641,0.1088421,0.09722096,0.1721122,-0.01932044,-0.1698049,-0.145177,-0.1968152,-0.2324411,0.03589335,0.2243208,0.4156253,0.3700453,0.5416762,4.728107,5.05212,5.478836,4.347712,5.145904,2.137274,2.116086,2.100429,2.157654,2.075608,-0.05636055,-0.119585,-0.0009795849,-0.04152966,-0.06878736,-0.04298696,0.004115158,0.05135114,0.009920279,0.08557095,4.133779,3.75064,3.125306,2.539352,2.521341,2.091095,2.083848,2.107537,2.118984,2.119112,0.210078,0.3168711,0.40243,0.3936853,0.5097363,0.5221401,0.09307139,0.05,0.05,0.05,18.39089,17.18977,16.75481,16.7231,16.61264,0.2721916,0.467196,0.6020025,0.5733303,0.6546948,0.5784776,0.102976,0.05,0.05,0.05,18.40411,17.1992,16.75123,16.7297,16.62011,18.39089,17.19024,16.75123,16.72499,16.62011,22.39694,75.15578,131.5799,146.6007,170.6457,1,0.9496931,0,0.7136073,0,49.9427904069998,41.8795154436514,18.36897,17.18445,16.75123,16.72402,16.6412
19.03154,17.27477,16.57897,16.11878,15.78047,18.82043,16.97664,16.15818,15.77295,15.46045,19.50983,17.66714,16.83961,16.45551,16.1409,17.53744,15.54878,14.74024,14.32747,14.05059,4.999046,5.552577,5.641702,5.761263,5.516434,2.152713,2.403121,2.413257,2.469856,2.374277,5.124018,6.811882,6.907343,7.107028,6.731805,0.2296173,0.1923333,0.2157006,0.2070936,0.2125061,0.09488955,0.1209239,0.10305,0.1003236,0.09191433,0.4229197,0.3486685,0.3643829,0.3417426,0.3492962,0.2278793,0.2578658,0.2620452,0.2481551,0.2212497,21.95337,18.62402,16.62849,16.57287,16.36899,2.396163,2.408781,2.420255,2.418275,2.422214,0.1877421,-0.1143763,0.01027214,-0.131854,-0.1695448,0.09363372,0.1562733,0.2409381,0.1326947,-0.05658484,3.083526,2.270118,2.183915,2.036307,2.155239,2.076655,2.1027,2.06827,2.080286,2.0886,4.107342,3.964475,3.975759,3.840959,4.074149,0.4623258,0.4777063,0.4701104,0.4888124,0.4623739,17.27659,15.4045,14.62902,14.20453,13.88194,2.405853,2.667559,2.975991,3.009298,2.539756,0.4950598,0.4956695,0.4671167,0.4797667,0.4871999,17.59218,15.67322,14.82142,14.40312,14.19401,17.37429,15.46687,14.68025,14.24424,13.93626,48.09127,324.2923,803.2142,1281.657,1803.542,0.6588103,0.7453671,0.7161797,0.7851679,0.8046625,49.5788652894655,41.4693671588608,17.28795,15.40522,14.62902,14.19722,13.8885
20.76368,19.09062,18.38968,18.35318,17.86719,20.27113,18.51713,17.79716,17.4698,17.19125,21.01604,19.24894,18.525,18.19773,17.91544,18.28427,16.63562,15.89749,15.60612,15.43147,9.436139,7.493188,7.757533,7.483556,6.978681,4.139399,3.389401,3.480036,3.37091,3.095119,9.690282,8.526848,8.732476,8.385956,7.556327,-0.1016417,-0.08641618,-0.07809517,-0.09229311,-0.09351602,0.05234781,0.07279889,0.07164343,0.07355838,0.07054865,-0.2976288,-0.1822113,-0.1835072,-0.1946459,-0.2160728,0.308125,0.2673762,0.2502104,0.2743653,0.2706363,50.98584,44.74957,42.85313,38.70239,37.5931,2.522426,2.444539,2.476809,2.501673,2.463947,0.3057726,0.005145953,0.04478382,-0.1484242,-0.158585,0.09958252,0.1339809,0.1205079,0.1307867,-0.1716046,3.014344,2.104116,1.912631,1.19456,1.695694,2.071623,2.116964,2.097607,2.432486,2.147095,9.412645,7.684505,7.698857,7.375192,7.360328,0.7240075,0.6664159,0.6736271,0.6710873,0.6438454,17.88196,16.25388,15.52787,15.24983,15.01276,3.573015,3.322862,3.588742,3.298689,3.05096,0.7232923,0.6939481,0.6675516,0.692526,0.6629713,18.49245,16.76047,15.98775,15.73726,15.55417,18.19402,16.54102,15.76926,15.51178,15.27039,21.03096,117.9831,266.0271,384.8878,500.5312,0.4192044,0.3767509,0.4226756,0.4073223,0.4620419,50.4849246036073,41.2983642796027,18.52188,16.71444,15.98779,15.68766,15.43556
20.8922,19.28456,18.63862,18.40983,17.87462,20.60692,18.78706,17.97729,17.60211,17.29791,21.33462,19.51877,18.70516,18.33048,18.02031,18.44449,16.35998,15.50528,15.11344,14.98057,11.32635,12.62629,13.79018,13.68918,12.29845,3.805864,5.58155,6.111824,6.240956,5.31985,8.978848,16.18321,18.22678,19.30197,15.02984,0.1301408,0.1151509,0.09752418,0.1054085,0.1425472,0.02271166,-0.006553643,-0.007332652,-0.007701693,-0.02009945,0.3151365,0.3034955,0.3190769,0.3180274,0.3269442,0.02091242,-0.04560833,-0.04938253,-0.05456416,-0.09598226,77.80914,61.25176,51.73055,50.45938,47.02681,2.270199,2.465153,2.479925,2.480936,2.47607,0.294297,0.01785643,-0.004140549,-0.1589606,-0.1360611,0.1065953,0.1176288,0.1574294,0.1141385,-0.1593274,3.309298,2.221625,1.735964,1.392636,1.812025,2.088855,2.117323,2.121164,2.045713,2.143323,13.69056,12.16755,12.11331,12.39389,11.06703,0.598426,0.6862335,0.7014404,0.6956114,0.6519522,17.74051,16.00689,15.20789,14.82833,14.64749,4.223563,4.563179,4.665104,4.631413,3.893408,0.6955168,0.7128626,0.7312086,0.7199333,0.6918933,18.45816,16.63887,15.837,15.47951,15.34002,18.20961,16.1943,15.31214,14.91552,14.763,17.4392,103.4024,250.9993,388.0239,527.5537,0.274636,0.6407122,0.7918312,0.8289171,0.7859743,49.7588315429406,41.6199281627887,17.79258,16.00173,15.20789,14.84126,14.55508
19.77338,18.18106,17.44404,17.23497,16.79398,19.55117,17.78186,17.01516,16.63775,16.34469,20.22648,18.4637,17.69403,17.31467,17.01742,17.55293,16.03046,15.21647,14.81939,14.58316,15.74866,7.986251,8.220746,8.345782,8.062645,4.69298,3.44591,3.617674,3.690849,3.559659,13.27492,9.118888,9.770123,10.09408,10.1146,-0.1891916,-0.1985839,-0.1840766,-0.1910869,-0.185903,0.09687698,0.1031203,0.1034311,0.09982156,0.09436264,-0.3319166,-0.3333907,-0.3231213,-0.3601502,-0.319903,0.3788434,0.3062206,0.310306,0.3033028,0.2707853,28.12292,21.97385,20.75637,18.03733,17.88314,2.574598,2.491564,2.493638,2.499819,2.481353,0.2702635,0.03553499,0.008879384,-0.2394334,-0.169386,0.09153529,0.1383077,0.1994271,0.1634385,-0.07334325,3.229141,2.028971,1.906552,1.533238,1.98762,2.072388,2.095878,2.066224,2.0759,2.093519,8.985918,6.745975,6.577886,6.696032,6.735625,0.4669574,0.4412432,0.4798506,0.4760255,0.4691875,17.36779,15.80775,15.02608,14.64116,14.36965,3.297793,3.893355,3.980806,4.00178,3.652725,0.4754648,0.4451341,0.4608396,0.4651956,0.4575592,18.07074,16.18791,15.37958,15.01233,14.81128,17.41854,15.88766,15.0986,14.70149,14.41099,34.67412,199.2639,476.0341,736.848,980.4885,0.9041941,0.7597877,0.7675149,0.8133334,0.8881978,50.2869381053616,41.2530385705908,17.60193,15.80582,15.02604,14.65236,14.38237
19.25126,17.4913,16.75249,16.51854,16.20379,18.96016,17.13333,16.34038,15.95974,15.68839,19.65432,17.80315,17.00712,16.62676,16.3588,17.35884,15.65772,14.88537,14.49325,14.24772,7.959118,6.642779,6.361455,6.426498,5.751212,2.913063,2.584188,2.532428,2.565885,2.46193,8.999783,8.772913,8.766278,8.968363,8.552918,0.1088389,0.1231193,0.1241315,0.1306949,0.1155867,0.1776894,0.1554576,0.1593125,0.1664121,0.1538901,0.1200895,0.1646286,0.1498634,0.1714733,0.136693,0.3301485,0.2789864,0.2655833,0.2734312,0.239839,22.03953,15.97798,14.23858,12.44727,13.67172,2.291581,2.352164,2.356511,2.387029,2.361749,0.09666056,-0.0653884,0.01783567,-0.0184944,-0.1824108,0.1058213,0.1128618,0.0628738,0.07631576,-0.05495385,2.847519,2.124775,1.858947,1.270674,1.465004,2.087848,2.097365,2.075296,2.385564,2.286114,6.550995,4.519131,4.184273,4.217859,4.388188,0.4263979,0.3913023,0.4015903,0.4023289,0.4164508,17.06515,15.55283,14.82305,14.42792,14.11815,2.911892,2.567572,2.509607,2.496543,2.385584,0.4674638,0.4798384,0.4858573,0.4859885,0.4873936,17.58453,15.90808,15.13971,14.767,14.50828,17.154,15.57715,14.84941,14.44311,14.14584,50.69083,283.2855,671.5206,1038.594,1417.224,0.7933346,0.9206433,0.905191,0.9481995,0.9165842,49.6637743795543,41.9971068206255,17.38367,15.59044,14.82304,14.43265,14.15794
19.59693,17.84837,17.2239,16.91849,16.37777,19.32988,17.52803,16.71473,16.35627,16.02372,19.99938,18.20194,17.38837,17.03658,16.6972,18.41168,16.06958,15.2414,14.89233,14.59138,4.288551,5.921634,6.034668,60.99748,5.881903,1.530427,2.575811,2.616646,2.559934,2.601259,3.078527,7.221722,7.398187,7.301914,7.613975,0.01432161,-0.01127605,-0.004709499,-0.01079028,-0.005599869,-0.04426737,-0.05003037,-0.06204648,-0.07030328,-0.07667876,0.1353622,-0.0140808,-0.007386878,-0.02891716,-0.02520186,-0.1668945,-0.1186574,-0.1352307,-0.1505279,-0.1992999,15.18764,16.27562,12.03469,11.00263,13.20989,2.369983,2.466609,2.500129,2.518295,2.490927,0.2036994,0.03233735,0.01639651,-0.2626729,-0.1308886,0.1514875,0.1165604,0.06141851,-4.072916E-05,-0.2024185,2.845267,2.303215,1.446908,0.852395,1.914265,2.065052,2.115365,2.240932,2.113278,2.144917,2.527759,3.739174,3.790682,3.676032,3.791887,0.8075142,0.7974561,0.8002892,0.8162308,0.7991557,18.02126,15.88657,15.05605,14.70038,14.38582,1.53204,2.314135,2.393017,2.382953,2.208796,0.8523291,0.8180681,0.8154657,0.8181066,0.7658926,18.31953,16.23096,15.39917,15.03952,14.80253,18.0829,15.94248,15.09857,14.74403,14.40582,27.26723,205.9537,510.5089,772.1635,1073.199,0.7702371,0.8153347,0.8582467,0.8531199,0.9427335,49.5813214431258,41.8559828364649,17.77172,15.87862,15.05605,14.6909,14.38664
